id,airport_name,city_name,country,iata_code,icao_code,latitude,longitude,type,scheduled_service,source
299319,Aseki Airport,Aseki,Papua New Guinea,AEK,AYAX,-7.350805,146.193994,small_airport,no,OurAirports
301673,Aiyura Airport,Aiyura Valley,Papua New Guinea,AYU,AYAY,-6.33805555556,145.904166667,small_airport,no,OurAirports
35179,Baimuru Airport,Baimuru,Papua New Guinea,VMU,AYBA,-7.496955,144.821756,medium_airport,yes,OurAirports
301858,Bambu Airport,Bambu,Papua New Guinea,BCP,AYBC,-5.863611111110001,146.4925,small_airport,no,OurAirports
301975,Bodinumu Airport,Bodinumu,Papua New Guinea,BNM,AYBD,-9.107777777779999,147.666722222,small_airport,no,OurAirports
302044,Bamu Airport,Bamu,Papua New Guinea,BMZ,AYBF,-7.8485,143.2433,small_airport,no,OurAirports
301874,Baindoung Airport,,Papua New Guinea,BDZ,AYBG,-6.34722222222,146.942222222,small_airport,no,OurAirports
301802,Bensbach Airport,Bensbach,Papua New Guinea,BSP,AYBH,-8.85805555556,141.259444444,small_airport,no,OurAirports
301803,Bewani Airport,Bewani,Papua New Guinea,BWP,AYBI,-3.0216666666700003,141.165277778,small_airport,no,OurAirports
53,Buka Airport,Buka Island,Papua New Guinea,BUA,AYBK,-5.422299,154.672698,medium_airport,yes,OurAirports
30675,Bialla Airport,"Bialla, Matalilu, Ewase",Papua New Guinea,BAA,AYBL,-5.3305602073700005,151.007995605,small_airport,no,OurAirports
35180,Balimo Airport,Balimo,Papua New Guinea,OPU,AYBM,-8.05000019073,142.932998657,medium_airport,yes,OurAirports
302041,Bomai Airport,Bomai,Papua New Guinea,BMH,AYBO,-6.37316666667,144.637,small_airport,no,OurAirports
301792,Bapi Airstrip,Bapi,Papua New Guinea,BPD,AYBP,-7.743611111110001,147.020555556,small_airport,no,OurAirports
301804,Biangabip Airport,Biangabip,Papua New Guinea,BPK,AYBQ,-5.526389,141.744583,small_airport,no,OurAirports
311258,Biaru Airport,Biaru,Papua New Guinea,BRP,AYBR,-7.6693,146.7594,small_airport,no,OurAirports
46171,Bulolo Airport,Bulolo,Papua New Guinea,BUL,AYBU,-7.216286671410001,146.649541855,small_airport,no,OurAirports
301809,Biniguni Airport,Biniguni,Papua New Guinea,XBN,AYBZ,-9.6425,149.303889,small_airport,no,OurAirports
35147,Chungribu Airport,Chungribu,Papua New Guinea,CVB,AYCB,-4.80662,144.714996,small_airport,no,OurAirports
46172,Cape Gloucester Airport,Cape Gloucester,Papua New Guinea,CGC,AYCG,-5.455231,148.422289,small_airport,no,OurAirports
54,Chimbu Airport,Kundiawa,Papua New Guinea,CMU,AYCH,-6.024290084838867,144.9709930419922,medium_airport,yes,OurAirports
302210,China Strait Airstrip,Samarai Island,Papua New Guinea,SQT,AYCS,-10.5627777778,150.690694444,small_airport,no,OurAirports
302094,Debepare Airport,Debepare,Papua New Guinea,DBP,AYDB,-6.30861111111,141.905555556,small_airport,no,OurAirports
302107,Derim Airport,Derim,Papua New Guinea,DER,AYDE,-6.14472222222,147.107222222,small_airport,no,OurAirports
302046,Bundi Airport,Bundi,Papua New Guinea,BNT,AYDI,-5.742222222220001,145.2275,small_airport,no,OurAirports
313962,Munduku Airport,Munduku,Papua New Guinea,MDM,AYDK,-4.6204,143.4516,small_airport,no,OurAirports
311717,Kondobol Airport,Kondobol,Papua New Guinea,KPF,AYDL,-8.5336,142.5049,small_airport,no,OurAirports
311110,Dinangat Airport,Dinangat,Papua New Guinea,DNU,AYDN,-6.1546,146.6772,small_airport,no,OurAirports
311116,Doini Airport,Castori Islets,Papua New Guinea,DOI,AYDO,-10.7009,150.7218,small_airport,no,OurAirports
308061,Dorobisoro Airport,Dorobisoro,Papua New Guinea,DOO,AYDR,-9.461855,147.920907,small_airport,no,OurAirports
55,Daru Airport,Daru,Papua New Guinea,DAU,AYDU,-9.08676,143.207993,medium_airport,yes,OurAirports
308223,Kerau Airport,Gunim,Papua New Guinea,KRU,AYEA,-8.271612,147.071899,small_airport,no,OurAirports
311135,Embessa Airport,Embessa,Papua New Guinea,EMS,AYEB,-9.447,148.7628,small_airport,no,OurAirports
308012,Edwaki Airport,Yellow River Mission,Papua New Guinea,XYR,AYED,-3.883986,141.792234,small_airport,no,OurAirports
46174,Emirau Airport,Emirau Island,Papua New Guinea,EMI,AYEE,-1.653949991,149.9757667,small_airport,no,OurAirports
